pin,cvv
2597,791
3146,637
7836,910
1665,564
1325,685
1527,322
9635,914
1901,159
9278,250
8842,334
3184,956
7029,562
6664,714
4828,284
2530,227
8394,142
1987,879
8757,489
6609,573
5613,128
9843,961
3881,547
6073,795
2058,857
2937,250
9966,325
8109,663
6185,351
2403,873
5188,622
9201,382
8681,173
1553,633
7492,214
5586,914
4360,231
5493,490
1206,823
5388,125
2719,379
1683,371
5805,201
4577,763
1915,810
5518,592
6725,488
4586,143
6819,574
3692,903
9696,392
7657,706
4084,173
2259,866
5716,816
6274,522
3772,415
5858,571
8191,251
6600,828
4252,225
6748,832
5803,989
6725,528
2156,580
3443,357
4769,541
1947,486
4939,202
1208,332
9157,976
4805,884
3177,854
9983,217
8710,646
4336,237
1435,765
2307,691
7742,246
3899,985
9012,588
1740,504
8690,541
6300,423
2517,938
6861,964
1547,151
6672,318
5239,730
3653,195
3176,276
4409,736
5902,176
3910,150
2178,666
8009,627
1310,324
3602,187
1369,265
6743,156
5923,163
