text,phone,numberrange
Orson Huffman,89158481,14
Kato Mccarthy,47474832,6
Zelenia Fuentes,15042153,11
Veda Peters,38572895,1
Malachi Beach,64410961,10
Kirestin Mcfarland,24046778,11
Victor Howell,31114226,13
Darryl Livingston,53751429,6
Leigh House,27662712,8
Celeste Ward,64463787,5
Axel Cruz,78755581,13
Jillian William,65413465,1
India Steele,12705217,9
Sharon Beach,58157218,10
Althea Haney,07047835,14
Cadman Mckee,85272947,8
Dylan Farrell,25661362,3
Leilani Rutledge,23175188,13
Maile Bullock,73431013,6
Mia Holt,27414655,0
Simon Guerrero,50262298,6
Pamela Barlow,25212042,5
Joan Dixon,74130131,5
Preston Fields,13465822,2
Steven Butler,21313384,10
Clayton Hodge,21968771,1
Allen Cunningham,59435898,6
Buffy Glover,54396443,8
Seth Hunt,82427586,1
Lionel Ayers,12856665,6
Kameko Holland,45714784,6
Felix Nelson,75097664,13
Tasha Lopez,11864258,4
Rajah Sellers,60526295,1
Helen Torres,68034254,3
Neve Sanford,24853658,5
Iola Newman,21646927,5
Todd Ingram,61643417,11
Winter Daniel,13520122,12
Nash Cabrera,32638680,3
Vivien Cohen,31035644,11
Kasper Kim,94063712,3
Catherine Romero,85969629,8
Logan Holt,86179874,3
Delilah Rivas,97107166,5
Hermione Ballard,95227921,10
Ruth Nash,40197643,12
Madeline Nieves,66677842,6
Lance Hunt,91637255,7
Ruth Carey,31739388,14
Brynne Tanner,86494128,7
Erasmus Russell,49677615,7
Ethan Carson,07222206,10
Wynter Spence,71480757,13
Marah Perkins,10372336,10
Shaine Garrison,35916436,12
Kevin O'donnell,33131247,5
Shelly Waters,73501535,1
Celeste Harrington,20551256,3
Kelly Owen,62519691,13
Kenyon Salazar,88965687,3
Naida Holden,18423563,14
Beverly Tucker,31655211,5
Cedric Patrick,65701257,8
Nevada Gonzalez,61559263,3
Clarke Melendez,23712046,4
Zane Wheeler,12722551,1
Akeem Cote,13130552,7
Deborah Alvarado,77860666,7
Lewis Logan,18446624,13
Amber Branch,72528877,1
Sophia Mcintyre,91263652,10
Kimberly Travis,21781258,5
Keith Sellers,12645211,13
Carolyn Black,55867853,12
Ivor Middleton,83708523,6
Ulric Pennington,18812092,13
Judith Aguirre,69743487,10
Herrod Emerson,13075349,1
Ori Orr,16449971,1
Cheyenne Ruiz,82871092,6
Maia Murray,16385221,1
Xander Hunter,72115708,12
Kirestin Rose,75802167,7
Dante Cooke,58450617,8
Shannon Morgan,17559352,13
Maxwell French,42522670,2
Darrel Mason,61473658,5
Sierra Mays,42525251,7
Dexter Salazar,25608931,11
Jena Dillard,11794745,6
Dara Jacobs,58569251,14
Lara Warren,42787896,15
